Predator,Prey
Heterotroph_flagellat,Autothroph_flagellat
Heterotroph_flagellat,Bacteria_indet
Mixotroph_flagellates,Bacteria_indet
Protozooplankton,Autothroph_flagellat
Protozooplankton,Bacteria_indet
Protozooplankton,Heterotroph_flagellat
Protozooplankton,Mixotroph_flagellates
Protozooplankton,Phytoplankton_indet
Protozooplankton,Protozooplankton
Aglantha_digitale,Calanus_finmarchicus
Apherusa_glacialis,Detritus
Apherusa_glacialis,Bacteria_indet
Apherusa_glacialis,Ice_algae
Apherusa_glacialis,Phytoplankton_indet
Bolinopsis_infundibulum,Calanus_finmarchicus
Bolinopsis_infundibulum,Calanus_glacialis
Bolinopsis_infundibulum,Calanus_hyperboreus
Bolinopsis_infundibulum,Metridia_longa
Bolinopsis_infundibulum,Microcalanus_spp
Bolinopsis_infundibulum,Pseudocalanus_spp
Calanus_finmarchicus,Detritus
Calanus_finmarchicus,Autothroph_flagellat
Calanus_finmarchicus,Diatom
Calanus_finmarchicus,Heterotroph_flagellat
Calanus_finmarchicus,Phytoplankton_indet
Calanus_finmarchicus,Protozooplankton
Calanus_finmarchicus,Benthos_larvae
Calanus_finmarchicus,Foraminifera
Calanus_glacialis,Diatom
Calanus_glacialis,Phytoplankton_indet
Calanus_glacialis,Protozooplankton
Calanus_glacialis,Foraminifera
Calanus_hyperboreus,Diatom
Calanus_hyperboreus,Phytoplankton_indet
Calanus_hyperboreus,Protozooplankton
Calanus_hyperboreus,Foraminifera
Clione_limacina,Limacina_helicina
Cyanea_capillata,Bacteria_indet
Cyanea_capillata,Aglantha_digitale
Cyanea_capillata,Bolinopsis_infundibulum
Cyanea_capillata,Calanus_finmarchicus
Cyanea_capillata,Calanus_hyperboreus
Cyanea_capillata,Dimophyes_arctica
Cyanea_capillata,Eukrohnia_hamata
Cyanea_capillata,Fritillaria_borealis
Cyanea_capillata,Microcalanus_spp
Cyanea_capillata,Oikopleura_spp
Cyanea_capillata,Oithona_similis
Cyanea_capillata,Pseudocalanus_spp
Cyanea_capillata,Sagitta_spp
Cyanea_capillata,Sarsia_spp
Cyanea_capillata,Themisto_libellula
Cyanea_capillata,Fish_larvae
Dimophyes_arctica,Phytoplankton_indet
Eukrohnia_hamata,Metridia_longa
Eukrohnia_hamata,Metridia_lucens
Eukrohnia_hamata,Microcalanus_spp
Eukrohnia_hamata,Oithona_similis
